"RelativePath","LastModified"
".git\refs\tags","2026-02-11 19:33:28"
"data\Tooth Segmentation + Recognition model\runs\segment\predict","2026-01-14 17:25:00"
"data\Tooth Segmentation + Recognition model\runs\segment\predict2","2026-01-14 17:25:36"
"data\Tooth Segmentation + Recognition model\runs\segment\predict3","2026-01-14 17:32:06"
"data\Tooth Segmentation + Recognition model\runs\segment\predict4","2026-01-14 20:26:08"
"week2-Tooth Detection & Segmentation\runs\segment\predict","2026-01-18 11:59:22"
"_non-using\week1\runs\detect\predict","2026-01-13 14:55:02"
"_non-using\week1\runs\detect\predict2","2026-01-13 14:59:12"
"_non-using\week1\runs\detect\predict3","2026-01-13 16:07:42"
"_non-using\week1\runs\detect\predict4","2026-01-13 18:10:54"
"_non-using\week1\runs\segment\predict","2026-01-13 16:06:04"
